시점,시도별,지출목적별,데이터
2022.06,대전광역시,0 총지수,108.09
2022.06,울산광역시,0 총지수,107.99
2022.06,세종특별자치시,0 총지수,109.07
2022.06,경기도,0 총지수,108.2
2022.06,강원특별자치도,0 총지수,109.7
2022.06,충청북도,0 총지수,109.28
2022.06,충청남도,0 총지수,109.44
2022.06,전라북도,0 총지수,108.76
2022.06,전라남도,0 총지수,109.31
2022.06,경상북도,0 총지수,109.56
2022.06,경상남도,0 총지수,108.58
2022.06,제주특별자치도,0 총지수,109.47
2022.07,전국,0 총지수,108.73
2022.07,서울특별시,0 총지수,107.47
2022.07,부산광역시,0 총지수,108.19
2022.07,대구광역시,0 총지수,108.93
2022.07,인천광역시,0 총지수,108.87
2022.07,광주광역시,0 총지수,109.01
2022.07,대전광역시,0 총지수,108.48
2022.07,울산광역시,0 총지수,108.52
2022.07,세종특별자치시,0 총지수,109.39
2022.07,경기도,0 총지수,108.73
2022.07,강원특별자치도,0 총지수,110.2
2022.07,충청북도,0 총지수,109.84
2022.07,충청남도,0 총지수,110.11
2022.07,전라북도,0 총지수,109.27
2022.07,전라남도,0 총지수,109.71
2022.07,경상북도,0 총지수,110.1
2022.07,경상남도,0 총지수,109.04
2022.07,제주특별자치도,0 총지수,109.82
2022.08,전국,0 총지수,108.63
2022.08,서울특별시,0 총지수,107.65
2022.08,부산광역시,0 총지수,108.22
2022.08,대구광역시,0 총지수,108.88
2022.08,인천광역시,0 총지수,108.7
2022.08,광주광역시,0 총지수,108.77
2022.08,대전광역시,0 총지수,108.42
2022.08,울산광역시,0 총지수,108.42
2022.08,세종특별자치시,0 총지수,109.54
2022.08,경기도,0 총지수,108.58
2022.08,강원특별자치도,0 총지수,109.91
2022.08,충청북도,0 총지수,109.61
2022.08,충청남도,0 총지수,109.89
2022.08,전라북도,0 총지수,109.02
2022.08,전라남도,0 총지수,109.51
2022.08,경상북도,0 총지수,109.7
2022.08,경상남도,0 총지수,108.78
2022.08,제주특별자치도,0 총지수,109.87
2022.09,전국,0 총지수,108.82
2022.09,서울특별시,0 총지수,107.78
2022.09,부산광역시,0 총지수,108.38
2022.09,대구광역시,0 총지수,109.29
2022.09,인천광역시,0 총지수,108.94
2022.09,광주광역시,0 총지수,108.8
2022.09,대전광역시,0 총지수,108.53
2022.09,울산광역시,0 총지수,108.72
2022.09,세종특별자치시,0 총지수,109.25
2022.09,경기도,0 총지수,108.78
2022.09,강원특별자치도,0 총지수,110.21
2022.09,충청북도,0 총지수,109.99
2022.09,충청남도,0 총지수,110.03
2022.09,전라북도,0 총지수,109.33
2022.09,전라남도,0 총지수,109.72
2022.09,경상북도,0 총지수,109.91
2022.09,경상남도,0 총지수,108.96
2022.09,제주특별자치도,0 총지수,110.2
2022.10,전국,0 총지수,109.16
2022.10,서울특별시,0 총지수,108.12
2022.10,부산광역시,0 총지수,108.79
2022.10,대구광역시,0 총지수,109.61
2022.10,인천광역시,0 총지수,109.4
2022.10,광주광역시,0 총지수,109.16
2022.10,대전광역시,0 총지수,108.94
2022.10,울산광역시,0 총지수,109.13
2022.10,세종특별자치시,0 총지수,109.7
2022.10,경기도,0 총지수,109.13
2022.10,강원특별자치도,0 총지수,110.54
2022.10,충청북도,0 총지수,110.16
2022.10,충청남도,0 총지수,110.11
2022.10,전라북도,0 총지수,109.56
2022.10,전라남도,0 총지수,109.93
2022.10,경상북도,0 총지수,110.28
2022.10,경상남도,0 총지수,109.31
2022.10,제주특별자치도,0 총지수,110.28
2022.11,전국,0 총지수,109.07
2022.11,서울특별시,0 총지수,108
2022.11,부산광역시,0 총지수,108.72
2022.11,대구광역시,0 총지수,109.48
2022.11,인천광역시,0 총지수,109.36
2022.11,광주광역시,0 총지수,109.1
2022.11,대전광역시,0 총지수,108.79
2022.11,울산광역시,0 총지수,108.9
2022.11,세종특별자치시,0 총지수,109.47
2022.11,경기도,0 총지수,109.12
2022.11,강원특별자치도,0 총지수,110.48
2022.11,충청북도,0 총지수,109.88
2022.11,충청남도,0 총지수,109.91
2022.11,전라북도,0 총지수,109.45
2022.11,전라남도,0 총지수,109.69
2022.11,경상북도,0 총지수,110.24
2022.11,경상남도,0 총지수,109.23
2022.11,제주특별자치도,0 총지수,109.96
2022.12,전국,0 총지수,109.26
2022.12,서울특별시,0 총지수,108.46
2022.12,부산광역시,0 총지수,108.83
2022.12,대구광역시,0 총지수,109.59
2022.12,인천광역시,0 총지수,109.66
2022.12,광주광역시,0 총지수,109.1
2022.12,대전광역시,0 총지수,109.03
2022.12,울산광역시,0 총지수,109.07
2022.12,세종특별자치시,0 총지수,109.48
2022.12,경기도,0 총지수,109.26
2022.12,강원특별자치도,0 총지수,110.73
2022.12,충청북도,0 총지수,109.94
2022.12,충청남도,0 총지수,110.09
2022.12,전라북도,0 총지수,109.43
2022.12,전라남도,0 총지수,109.71
2022.12,경상북도,0 총지수,110.16
2022.12,경상남도,0 총지수,109.38
2022.12,제주특별자치도,0 총지수,109.87
2023.01,전국,0 총지수,110.07
2023.01,서울특별시,0 총지수,109.22
2023.01,부산광역시,0 총지수,109.83
2023.01,대구광역시,0 총지수,110.43
2023.01,인천광역시,0 총지수,110.48
2023.01,광주광역시,0 총지수,110.07
2023.01,대전광역시,0 총지수,109.85
2023.01,울산광역시,0 총지수,109.95
2023.01,세종특별자치시,0 총지수,110.06
2023.01,경기도,0 총지수,110.05
2023.01,강원특별자치도,0 총지수,111.66
2023.01,충청북도,0 총지수,110.63
2023.01,충청남도,0 총지수,110.96
2023.01,전라북도,0 총지수,110.33
2023.01,전라남도,0 총지수,110.58
2023.01,경상북도,0 총지수,110.82
2023.01,경상남도,0 총지수,110.13
2023.01,제주특별자치도,0 총지수,110.76
2023.02,전국,0 총지수,110.33
2023.02,서울특별시,0 총지수,109.6
2023.02,부산광역시,0 총지수,110
2023.02,대구광역시,0 총지수,110.68
2023.02,인천광역시,0 총지수,110.61
2023.02,광주광역시,0 총지수,110.34
