업체명,모델명,연료,변속형식,차량형식,자동차 종류,표시연비,도심주행연비,고속도로연비,CO2배출량(g/km),1회충전주행거리(km),배기량,등급,출시연도,예상 연간유류비
르노코리아자동차(주),"XM3 1.6 (17"" tire) LRRC",휘발유,CVT,내연기관,승용차,13.6,12.3,15.6,121,,1598,3등급,2021,1816224
르노코리아자동차(주),"XM3 1.3 (17"" tire) LRRC",휘발유,자동,내연기관,승용차,13.8,12.2,16.3,119,,1332,2등급,2021,1789902
기아,K8 1.6TGDI 하이브리드 18인치 (빌트인캠),휘발유,자동,하이브리드,승용차,16.8,16.9,16.6,96,,1598,1등급,2021,1470277
기아,K8 1.6TGDI 하이브리드 18인치,휘발유,자동,하이브리드,승용차,17.1,17.2,16.9,94,,1598,1등급,2021,1444482
기아,K8 1.6TGDI 하이브리드 17인치 (빌트인캠),휘발유,자동,하이브리드,승용차,17.6,17.6,17.7,91,,1598,1등급,2021,1403446
기아,K8 1.6TGDI 하이브리드 17인치,휘발유,자동,하이브리드,승용차,18,18.2,17.7,88,,1598,1등급,2021,1372258
혼다,ODYSSEY,휘발유,자동,내연기관,승용차,9,7.7,11.2,187,,3471,5등급,2021,2744517
현대,아이오닉5 항속형 RWD 20인치,전기,없음,전기,승용차,4.9,5.5,4.2,,401,,3등급,2021,1175235
폭스바겐,Arteon 2.0TDI,경유,자동,내연기관,승용차,15.5,13.7,18.5,121,,1968,2등급,2021,1454216
현대,아이오닉5 항속형 RWD 19인치 빌트인캠,전기,없음,전기,승용차,5.1,5.8,4.4,,421,,2등급,2021,1129147
아우디,A8 L 50 TDI quattro,경유,자동,하이브리드,승용차,11.2,9.7,13.8,173,,2967,4등급,2021,2012531
케이지모빌리티,렉스턴스포츠 2.2 디젤 2WD 6MT SCR,경유,수동,내연기관,화물차,11.3,10.6,12.2,171,,2157,4등급,2021,1994721
케이지모빌리티,렉스턴스포츠 2.2 디젤 4WD 6MT SCR,경유,수동,내연기관,화물차,11,10.1,12.1,177,,2157,4등급,2021,2049123
케이지모빌리티,렉스턴스포츠 2.2 디젤 2WD 6AT SCR,경유,자동,내연기관,화물차,10.4,9.4,11.7,188,,2157,4등급,2021,2167341
케이지모빌리티,렉스턴스포츠 2.2 디젤 4WD 6AT SCR,경유,자동,내연기관,화물차,10.1,9.1,11.4,194,,2157,4등급,2021,2231718
케이지모빌리티,렉스턴스포츠 칸 2.2 디젤 2WD 6MT SCR,경유,수동,내연기관,화물차,11.2,10.6,12,173,,2157,4등급,2021,2012531
케이지모빌리티,렉스턴스포츠 칸 2.2 디젤 4WD 6MT SCR,경유,수동,내연기관,화물차,10.9,10.1,11.9,178,,2157,4등급,2021,2067922
케이지모빌리티,렉스턴스포츠 칸 2.2 디젤 2WD 6AT SCR,경유,자동,내연기관,화물차,10.3,9.3,11.7,190,,2157,4등급,2021,2188383
케이지모빌리티,렉스턴스포츠 칸 2.2 디젤 4WD 6AT SCR,경유,자동,내연기관,화물차,10,9.1,11.3,196,,2157,4등급,2021,2254035
토요타,토요타 Sienna Hybrid AWD,휘발유,CVT,하이브리드,승용차,13.7,14.1,13.3,117,,2487,3등급,2021,1802967
토요타,토요타 Sienna Hybrid 2WD,휘발유,CVT,하이브리드,승용차,14.5,15,14,109,,2487,2등급,2021,1703493
토요타,GR Supra,휘발유,자동,내연기관,승용차,10.2,9.1,12,165,,2998,4등급,2021,2421632
기아,K8 3.5 GDI 18인치 (빌트인캠),휘발유,자동,내연기관,승용차,10.5,8.9,13.2,162,,3470,4등급,2021,2352443
기아,K8 3.5 GDI 18인치,휘발유,자동,내연기관,승용차,10.6,9,13.4,160,,3470,4등급,2021,2330250
기아,K8 3.5 LPI 18인치,LPG,자동,내연기관,승용차,7.7,6.6,9.6,172,,3470,5등급,2021,1938799
기아,K8 3.5 LPI 17인치,LPG,자동,내연기관,승용차,8,6.8,10,166,,3470,5등급,2021,1866094
GM,캐딜락 Escalade,휘발유,자동,내연기관,승용차,6.5,5.8,7.8,269,,6162,5등급,2021,3800100
기아,K8 3.5 GDI 19인치,휘발유,자동,내연기관,승용차,10.3,8.8,13,165,,3470,4등급,2021,2398121
기아,K8 2.5 GDI 19인치,휘발유,자동,내연기관,승용차,11.4,9.8,14,148,,2497,4등급,2021,2166724
기아,K8 2.5 GDI 18인치,휘발유,자동,내연기관,승용차,11.7,10.1,14.4,144,,2497,3등급,2021,2111167
기아,K8 2.5 GDI 17인치 (빌트인캠),휘발유,자동,내연기관,승용차,11.9,10.2,14.9,141,,2497,3등급,2021,2075685
기아,K8 2.5 GDI 17인치,휘발유,자동,내연기관,승용차,12,10.3,15,140,,2497,3등급,2021,2058388
벤츠,Mercedes-AMG GLB35 4MATIC,휘발유,자동,내연기관,승용차,9.5,8.8,10.6,188,,1991,4등급,2021,2600068
벤츠,Mercedes-AMG C43 4MATIC Coupe,휘발유,자동,내연기관,승용차,8.6,7.6,10.3,211,,2996,5등급,2021,2872169
포르쉐,파나메라 4 E-하이브리드,전기+휘발유,자동,PHEV,승용차,8.6,11.1,13.5,56,38,2894,PHEV,2021,2058388
토요타,렉서스 LS500 AWD,휘발유,자동,내연기관,승용차,7.9,6.5,10.7,220,,3445,5등급,2021,3126665
토요타,렉서스 LS500h AWD,휘발유,CVT,하이브리드,승용차,9.6,8.8,10.9,175,,3456,4등급,2021,2572984
포드,Explorer 3.0,휘발유,자동,내연기관,승용차,8.3,7.2,10.2,205,,2956,5등급,2020,2975982
(주)디피코,포트로 탑(HMT-250T),전기,없음,전기,화물차,4.2,5.1,3.4,,69,,초소형,2021,1371107
아우디,A7 45 TDI quattro ,경유,자동,하이브리드,승용차,13,11.4,15.5,147,,2967,3등급,2021,1733873
벤츠,Mercedes-Benz GLB 220,휘발유,자동,내연기관,승용차,10.8,9.6,12.6,165,,1991,4등급,2021,2287097
