년도,월,지역,차종,용도,연료,등록수,순증가량
2020,02,제주,화물,계,하이브리드,0,0
2020,02,제주,화물,비사업용,하이브리드,0,0
2020,02,제주,화물,사업용,하이브리드,0,0
2020,02,충남,소계,계,하이브리드,18271,107
2020,02,충남,소계,비사업용,하이브리드,18208,106
2020,02,충남,소계,사업용,하이브리드,63,1
2020,02,충남,승용,계,하이브리드,18271,107
2020,02,충남,승용,비사업용,하이브리드,18208,106
2020,02,충남,승용,사업용,하이브리드,63,1
2020,02,충남,승합,계,하이브리드,0,0
2020,02,충남,승합,비사업용,하이브리드,0,0
2020,02,충남,승합,사업용,하이브리드,0,0
2020,02,충남,특수,계,하이브리드,0,0
2020,02,충남,특수,비사업용,하이브리드,0,0
2020,02,충남,특수,사업용,하이브리드,0,0
2020,02,충남,화물,계,하이브리드,0,0
2020,02,충남,화물,비사업용,하이브리드,0,0
2020,02,충남,화물,사업용,하이브리드,0,0
2020,02,충북,소계,계,하이브리드,14392,120
2020,02,충북,소계,비사업용,하이브리드,14239,120
2020,02,충북,소계,사업용,하이브리드,153,0
2020,02,충북,승용,계,하이브리드,14389,120
2020,02,충북,승용,비사업용,하이브리드,14239,120
2020,02,충북,승용,사업용,하이브리드,150,0
2020,02,충북,승합,계,하이브리드,3,0
2020,02,충북,승합,비사업용,하이브리드,0,0
2020,02,충북,승합,사업용,하이브리드,3,0
2020,02,충북,특수,계,하이브리드,0,0
2020,02,충북,특수,비사업용,하이브리드,0,0
2020,02,충북,특수,사업용,하이브리드,0,0
2020,02,충북,화물,계,하이브리드,0,0
2020,02,충북,화물,비사업용,하이브리드,0,0
2020,02,충북,화물,사업용,하이브리드,0,0
2020,03,강원,소계,계,하이브리드,14488,242
2020,03,강원,소계,비사업용,하이브리드,14439,240
2020,03,강원,소계,사업용,하이브리드,49,2
2020,03,강원,승용,계,하이브리드,14488,242
2020,03,강원,승용,비사업용,하이브리드,14439,240
2020,03,강원,승용,사업용,하이브리드,49,2
2020,03,강원,승합,계,하이브리드,0,0
2020,03,강원,승합,비사업용,하이브리드,0,0
2020,03,강원,승합,사업용,하이브리드,0,0
2020,03,강원,특수,계,하이브리드,0,0
2020,03,강원,특수,비사업용,하이브리드,0,0
2020,03,강원,특수,사업용,하이브리드,0,0
2020,03,강원,화물,계,하이브리드,0,0
2020,03,강원,화물,비사업용,하이브리드,0,0
