년도,월,차종,차량전체_등록수,차량전체_순증가량,수소차_등록수,수소차_순증가량,하이브리드차_등록수,하이브리드차_순증,휘발유차_등록수,휘발유차_순증가량,경유차_등록수,경유차_순증가량
2024,07,승용,86481676,122588,141176,1284,7217008,142292,49452572,39884,21365320,-84720
2024,07,승합,2705392,-9704,4304,344,5092,1084,28628,-64,2211940,-10940
2024,07,특수,567068,2504,8,0,156,84,952,28,505008,1476
2024,07,화물,14898512,-640,88,0,6540,1564,120232,836,12979456,-42184
2024,08,소계,104688256,35608,147148,1572,7346524,117728,49595208,-7176,36927492,-134232
2024,08,승용,86533324,51648,142296,1120,7333488,116480,49444520,-8052,21279632,-85688
2024,08,승합,2696028,-9364,4740,436,5664,572,28600,-28,2201176,-10764
2024,08,특수,568804,1736,8,0,200,44,964,12,505928,920
2024,08,화물,14890100,-8412,104,16,7172,632,121124,892,12940756,-38700
2024,09,소계,104810164,121908,147916,768,7514460,167936,49626868,31660,36804276,-123216
2024,09,승용,86667368,134044,142864,568,7499240,165752,49475480,30960,21199736,-79896
2024,09,승합,2687896,-8132,4936,196,6432,768,28572,-28,2191716,-9460
2024,09,특수,570488,1684,8,0,232,32,988,24,506888,960
2024,09,화물,14884412,-5688,108,4,8556,1384,121828,704,12905936,-34820
2024,10,소계,104930276,120112,149580,1664,7700004,185544,49649296,22428,36655944,-148332
2024,10,승용,86800532,133164,143992,1128,7682828,183588,49497392,21912,21106556,-93180
2024,10,승합,2678848,-9048,5448,512,7312,880,28508,-64,2180196,-11520
2024,10,특수,572104,1616,12,4,248,16,1000,12,507580,692
2024,10,화물,14878792,-5620,128,20,9616,1060,122396,568,12861612,-44324
2024,11,소계,105094424,164148,149928,348,7891392,191388,49684552,35256,36534208,-121736
2024,11,승용,86977416,176884,144128,136,7872188,189360,49532312,34920,21030156,-76400
2024,11,승합,2671908,-6940,5648,200,8140,828,28452,-56,2170868,-9328
2024,11,특수,573872,1768,12,0,372,124,1020,20,508296,716
2024,11,화물,14871228,-7564,140,12,10692,1076,122768,372,12824888,-36724
2024,12,소계,105191676,97252,150228,300,8097924,206532,49678640,-5912,36403360,-130848
2024,12,승용,87084480,107064,144132,4,8077036,204848,49526080,-6232,20944548,-85608
2024,12,승합,2664664,-7244,5932,284,8724,584,28408,-44,2160380,-10488
2024,12,특수,575560,1688,12,0,400,28,1040,20,509100,804
2024,12,화물,14866972,-4256,152,12,11764,1072,123112,344,12789332,-35556
