년도,월,지역,연료,차종,용도,등록수,순증가량
2020,02,충북,총계,특수,비사업용,1440,25
2020,02,충북,총계,특수,사업용,2697,6
2020,02,충북,총계,화물,계,158310,363
2020,02,충북,총계,화물,비사업용,144252,362
2020,02,충북,총계,화물,사업용,14058,1
2020,03,강원,총계,소계,계,786827,1021
2020,03,강원,총계,소계,비사업용,761572,1074
2020,03,강원,총계,소계,사업용,25255,-53
2020,03,강원,총계,승용,계,598126,1258
2020,03,강원,총계,승용,비사업용,586194,1281
2020,03,강원,총계,승용,사업용,11932,-23
2020,03,강원,총계,승합,계,29059,-173
2020,03,강원,총계,승합,비사업용,25805,-149
2020,03,강원,총계,승합,사업용,3254,-24
2020,03,강원,총계,특수,계,3246,17
2020,03,강원,총계,특수,비사업용,1590,2
2020,03,강원,총계,특수,사업용,1656,15
2020,03,강원,총계,화물,계,156396,-81
2020,03,강원,총계,화물,비사업용,147983,-60
2020,03,강원,총계,화물,사업용,8413,-21
2020,03,경기,총계,소계,계,5802596,22383
2020,03,경기,총계,소계,비사업용,5574057,23114
2020,03,경기,총계,소계,사업용,228539,-731
2020,03,경기,총계,승용,계,4774567,21969
2020,03,경기,총계,승용,비사업용,4703666,22833
2020,03,경기,총계,승용,사업용,70901,-864
2020,03,경기,총계,승합,계,208681,-333
2020,03,경기,총계,승합,비사업용,176098,-388
2020,03,경기,총계,승합,사업용,32583,55
2020,03,경기,총계,특수,계,18425,105
2020,03,경기,총계,특수,비사업용,7324,100
2020,03,경기,총계,특수,사업용,11101,5
2020,03,경기,총계,화물,계,800923,642
2020,03,경기,총계,화물,비사업용,686969,569
2020,03,경기,총계,화물,사업용,113954,73
2020,03,경남,총계,소계,계,1732075,2131
2020,03,경남,총계,소계,비사업용,1642944,738
2020,03,경남,총계,소계,사업용,89131,1393
2020,03,경남,총계,승용,계,1376744,3324
2020,03,경남,총계,승용,비사업용,1325184,1834
2020,03,경남,총계,승용,사업용,51560,1490
2020,03,경남,총계,승합,계,54843,-278
2020,03,경남,총계,승합,비사업용,47352,-248
2020,03,경남,총계,승합,사업용,7491,-30
2020,03,경남,총계,특수,계,8014,21
2020,03,경남,총계,특수,비사업용,2600,13
2020,03,경남,총계,특수,사업용,5414,8
2020,03,경남,총계,화물,계,292474,-936
2020,03,경남,총계,화물,비사업용,267808,-861
2020,03,경남,총계,화물,사업용,24666,-75
2020,03,경북,총계,소계,계,1450719,-579
2020,03,경북,총계,소계,비사업용,1402284,-542
2020,03,경북,총계,소계,사업용,48435,-37
2020,03,경북,총계,승용,계,1076028,256
2020,03,경북,총계,승용,비사업용,1061746,289
2020,03,경북,총계,승용,사업용,14282,-33
2020,03,경북,총계,승합,계,48787,-223
2020,03,경북,총계,승합,비사업용,43388,-210
2020,03,경북,총계,승합,사업용,5399,-13
