연월,평균_에너지소비효율_전체,평균_1회충전주행거리_전체(km),평균_충전지용량_전체(Ah),평균_에너지소비효율_상업용,평균_1회충전주행거리_상업용(km),평균_충전지용량_상업용(Ah),평균_에너지소비효율_비상업용,평균_1회충전주행거리_비상업용(km),평균_충전지용량_비상업용(Ah)
2023-08-01,4.2325184094256265,368.588880706922,205.63866668250276,3.183333333333333,180.66666666666666,161.41666666666666,4.353492263085048,397.975376367116,212.50774773903373
2023-09-01,4.17503878696911,371.03544414401154,211.3137235131263,3.2316666666666665,180.63333333333333,159.55833333333334,4.289678972712681,398.23928571428576,218.60178705189944
2023-10-01,4.149528168635153,380.1780818692997,215.1762328822406,3.28,180.6,157.7,4.248234624199121,402.82617624102994,221.6962672145735
2023-11-01,4.166455550190461,390.86062288749395,220.57890310638984,3.277333333333333,180.61888888888888,157.8238888888889,4.256808278867103,412.2110615963557,226.9493929490988
2023-12-01,4.207184811386437,389.34796904569595,216.65651248384034,3.161290322580645,188.56989247311827,166.4731182795699,4.309405321840473,409.02269722233433,221.59074220800193
2024-01-01,4.212191699103695,393.15644863018804,218.07611816026122,3.073015873015873,182.27803379416284,170.98975934459807,4.29880254258174,409.8908007694835,221.8408075811928
2024-02-01,4.230659245619909,390.6636745340922,216.1737452572257,3.0571428571428574,180.85714285714286,171.71428571428572,4.297859264147831,409.8956030358027,220.42453803002803
2024-03-01,4.302555398321166,388.28127794037243,210.97939265536723,2.962032770097286,179.4626216077829,173.24372759856632,4.407033555374054,410.53358480433945,215.16183424962858
2024-04-01,4.3179413841807905,388.26199858757064,209.05270903954803,2.841948051948052,182.20468975468975,178.1594227994228,4.463525396825398,414.14761904761906,213.21480952380952
2024-05-01,4.335760627103679,385.2170661028089,203.02713350350862,2.836712749615975,203.57603686635946,170.26789554531487,4.507776339877533,411.3338217284262,207.8701112934789
2024-06-01,4.374446450154206,369.2189774006001,195.31283516044914,2.812478632478632,203.2717948717949,169.9333333333333,4.603308288961162,399.72651876882907,200.06424037945078
2024-07-01,4.4008170027003555,365.2718321189489,190.27061175570572,2.834810350939383,202.77454803261256,169.5143093465674,4.630383337104801,396.45715506550346,194.6446018403923
2024-08-01,4.394767328780024,370.50181256383354,183.98927028029144,2.857142857142857,203.28571428571428,169.16923076923075,4.596658842473431,400.5740329547661,187.49366939789329
2024-09-01,4.350445684523809,382.9958035714286,182.88472951212083,2.857142857142857,203.28571428571428,169.16923076923075,4.5174798387096775,410.58049155145926,185.73357165091917
2024-10-01,4.35040969358881,386.7516573692296,179.83183907742148,2.871428571428571,206.05069124423963,167.49057071960297,4.516021847360067,414.4659796907953,182.43498181623585
2024-11-01,4.371027727291087,378.7285032715376,171.66763565185082,2.887555555555555,209.25641025641025,165.5411111111111,4.554269665679987,407.2574802702549,173.50990965879512
2024-12-01,4.3773936967349,384.9152863117693,172.59959098403567,2.8999999999999995,212.84615384615384,163.31666666666663,4.521297805370919,408.8108413935847,174.55365448346566
