날짜,평균_에너지소비효율_전체,평균_1회충전주행거리_전체(km),평균_충전지용량_전체(Ah),평균_에너지소비효율_상업용,평균_1회충전주행거리_상업용(km),평균_충전지용량_상업용(Ah),평균_에너지소비효율_비상업용,평균_1회충전주행거리_비상업용(km),평균_충전지용량_비상업용(Ah)
2024-01-03,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2024-01-04,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2024-01-05,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2024-01-06,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-07,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-08,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-09,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-10,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-11,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-12,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-13,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-14,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-15,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-16,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-17,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-18,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-19,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-20,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-21,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-22,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-23,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-24,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-25,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-26,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-27,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
