"구분(1)",구분(2),2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12
"충청북도",충주,48,71,58,75,59,66,41,49,40**,23,24,22,34,49,48,50,46,43,47,36,39,19,21,20,35,42,44,42,45,59,40,54,31,20,21,15,27,43,38,45,41,45,40,34,24,25,21,23,26,44,43,51,52,71,69,37,28,24,23,21,28,31,38,37,28,48,50,29,29,20,21,15,20,26,34
"충청북도",제천,36,65,56,70,60,66,45,50,30,21,25,21,32,50,49,43,39,38,33*,28**,,17,20,20,37,39,44,43,44,60,41,55,33,22,22,18,29,46,38,44,43,48,42,37,26,23,19,22,26,45,44,51,49,66,67,39,30,26,24,22,31,33,39,37,28,51,52,30,29,18,20,17,19,25,32
"충청북도",단양,34,59,61,64,54,60,42,49,39,29,32,29,35,56,47,45,36,39,33,24,30,14,20,18,28,32,38,38,40,51,34,44,26,20,20,15,25,38,34,38,35,39,34,29,20,20,15*,15*,19,35,40,47,46,60,64,34,26,23,23,22,31,34,42,41,29,51,54,31,28,17,22,15,19,24,34
"충청북도",진천,37,64,49,69,62,67,43,50,34,26,27,25,35,47,45,47,43,47,46,38,40,20,22,22,37,44,42,43,46,67,42,50,34,17,22,16,31,44,43,44,41,48,43,36,25,24,18,23,33,50,43,52,53,75,76,41,31,25,23,23,32,33,40,38,34,51,56,33,33,19,21,17,24,31,34
"충청북도",옥천,32,62,52,65,64,67,43,49,36,24,26,23,31,45,45,44,40,41,42,31,36,15,17,24,34,39,40,41,42,61,39,51,31,19,22,16,29,44,44,46,42,49,42,36,26,20,16,18,23,41,36,42,43,61,63,31,22,20,21,22,24,28,34,31,24,38,39,23,22,14,18,13,17,23,29
"충청북도",영동,34,57,47,65,64,67,42,45,36,26,26,23,29,42,43,41,40,42,43,33,36,16,20,20,31**,33,39,39,41,61,40,47,31,21,23,18,26,38,35,38,37,43,35,32,25,21,16,14,17,31,31,40,37,59,62,29,23,20,17,15,21,24,30,29,24,40,40,26,24,14,16,12,16,21,26
"충청북도",증평,44,59,48,69,63,67,40,57,46,30,28,21,32,47,46,50,42,38,40,42,45,22,30,32,43,46,48,44,51,67,41*,,,19,23,17,31,43,38,43,39,45,39,34,23,24,17,20,28,42,38,46,49,67,68,36,29,26,22,19,30,33,38*,37*,27,42,46,27,27,16,18,13,21,26,32
"충청북도",보은,,,,71,63,65,40,44,26,16,22,18,29,42,44,42,41,45,44,29,31,13,17,18,32,38,41,39,42,56,38,48,30,19,17,14,26,41,36,39,36,41,28**,,23,22,18,18,25,41,36,43,45,65,68,32,25,20,21,19,28,29,33,31,24,41,45,28,26,14,17,14,17,23,30
"충청북도",도평균,39,65,53,70,63,67,43,50,36,24,26,23,33,47,46,46,42,43,43,33,36,18,21,22,36,41,44,43,46,62,41,53,32,19,21,16,30,44,40,44,41,46,40,34,23,23,17,20,26,44,40,48,49,68,69,36,27,23,22,21,29,32,39,37,30,47,49,29,28,17,20,15,21,27,33
"충청남도",천안,32,71,53,74,68,77,48,52,35,28,30,26,35,50,47,49,47,48*,44*,34*,35,22,24,25,43,47,48,48,57,80,47,62,38,23,24,19,34,51*,46,51,48,53,48,37,24,26,20,26,36,51,42,56,62,81,83,43*,32*,28,27,26,37,34,44,42,41,56,57,34,33,18,26,19,27,34,36
